Стройинвест,representative_developer,URL,Балашиха,sale,flat,12,17,1,36.4,-1,0,6027360,Unnamed: 13,Поликахина,2,Лухмановская,Центр-2
Этажи Москва,real_estate_agent,,Балашиха,sale,flat,19,20,2,68.8,-1,0,12000000,,шоссе Косинское,5/7,Ольгино,Новоград Павлино
Александр Кубышев,realtor,,Балашиха,sale,flat,2,16,1,32.0,-1,0,4900000,, Октябрьская,17,Железнодорожная,
Самолет,developer,,Балашиха,sale,flat,20,22,1,33.9,-1,0,6089457,,,к6,Некрасовка,Новоград Павлино
ID 118582271,homeowner,,Балашиха,sale,flat,10,17,2,52.2,-1,0,9890000,, Свердлова,50,Щёлковская,
ТСН Владис,real_estate_agent,,Балашиха,sale,flat,4,5,1,30.3,-1,0,3899000,,шоссе Энтузиастов,57,Салтыковская,
Стройинвест,representative_developer,,Балашиха,sale,flat,12,17,1,37.3,-1,0,6108630,,проспект Героев,12,Лухмановская,Центр-2
ТСН Владис,real_estate_agent,,Балашиха,sale,flat,5,10,2,66.0,-1,0,9249000,, Карбышева,1,Кучино,
Елена Петрова,realtor,,Балашиха,sale,flat,2,22,1,34.3,-1,0,5300000,, Романычева,1,Ольгино,Новоград Павлино
Стройинвест,representative_developer,,Балашиха,sale,flat,12,17,2,57.8,-1,0,8556280,, Поликахина,2,Лухмановская,Центр-2
Этажи Москва,real_estate_agent,,Балашиха,sale,flat,19,25,1,36.3,-1,0,5300000,, Яганова,9,Щёлковская,Пехра
Светлана Крамлих,realtor,,Балашиха,sale,flat,9,14,1,39.0,-1,0,5300000,, Майкла Лунна,5,Щёлковская,
СЕТЬСТРОЙ БАЛАШИХА,developer,,Балашиха,sale,flat,17,17,1,31.7,-1,0,6498500,г. Балашиха,ул. Твардовского,к4,Новокосино,Квартал Светлый ЖК
ID 16079413,homeowner,,Балашиха,sale,flat,11,17,2,64.0,-1,0,9549000,,проспект Ленина,74,Салтыковская,Жемчужина Виктории
Веста,real_estate_agent,,Балашиха,sale,flat,3,5,2,44.0,-1,0,4850000,, Калинина,9,Железнодорожная,
Стройинвест,representative_developer,,Балашиха,sale,flat,2,17,1,36.7,-1,0,6304370,, Поликахина,2,Лухмановская,Центр-2
