Sminex,developer,Москва,sale,flat,12,2,86.1,213680000,Хамовники,Фрунзенская набережная,30,Фрунзенская,Клубный город-парк 
ID 12530791,unknown,Москва,sale,flat,78,1,58.0,58500000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
PROНЕДВИЖИМОСТЬ,real_estate_agent,Москва,sale,flat,12,1,35.0,9500000,Богородское,1-я Гражданская ,99К1,Преображенская площадь,
VESPER,developer,Москва,sale,flat,9,2,104.2,150958800,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
Kalinka Group,real_estate_agent,Москва,sale,flat,12,2,88.0,59350000,Тверской,2-я Брестская ,6,Маяковская,Резиденция Тверская
PROНЕДВИЖИМОСТЬ,real_estate_agent,Москва,sale,flat,12,1,33.5,8000000,Чертаново Южное,3-й Дорожный проезд,6К1,Улица Академика Янгеля,
VESPER,developer,Москва,sale,flat,21,2,110.6,108976392,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
hoomie,real_estate_agent,Москва,sale,flat,20,2,64.29,24166611,Даниловский,Автозаводская ,26,Тульская,FORST
Игорь Гребенцов,realtor,Москва,sale,flat,37,2,51.8,29000000,Очаково-Матвеевское,,к5,Аминьевская,Левел Мичуринский ЖК
Галс-Девелопмент,developer,Москва,sale,flat,6,2,102.7,114715900,Арбат,Поварская ,8/1к1,Арбатская,De Luxe квартал апартаментов Театральный Дом
Kalinka Group,real_estate_agent,Москва,sale,flat,12,2,99.0,96750000,Тверской,2-я Брестская ,6,Маяковская,Резиденция Тверская
do A.S.A.P.,real_estate_agent,Москва,sale,flat,12,2,37.0,9500000,Западное Дегунино,Коровинское шоссе,9К1,Селигерская,
ANT Development,developer,Москва,sale,flat,10,2,59.8,71281684,Дорогомилово,,3к8,Поклонная,Виктори Парк Резиденсез ЖК
Kalinka Group,real_estate_agent,Москва,sale,flat,7,2,96.0,260000000,Хамовники, Льва Толстого,23к7с3,Парк Культуры,
Светлана Анисимова,realtor,Москва,sale,flat,31,2,55.7,21990000,Богородское,Тюменский проезд,3к1,Бульвар Рокоссовского,Преображение
Tekta Group,developer,Москва,sale,flat,42,2,43.0,21606000,Котловка,Севастопольский проспект,22А,Нагорная,Eniteo
ID 10601,realtor,Москва,sale,flat,5,2,42.3,28300000,Тверской,Тверская ,27С1,Маяковская,
ID 123328834,homeowner,Москва,sale,flat,14,1,40.0,13700000,Перово,Мартеновская ,11/12,Новогиреево,
VESPER,developer,Москва,sale,flat,6,2,173.3,363930000,Пресненский,Трехпрудный переулок,9С2,Пушкинская,Клубный дом Левенсон
Kalinka Group,real_estate_agent,Москва,sale,flat,29,2,69.1,31095000,Якиманка,Мытная ,40к3,Шаболовская,Sky House
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,Москва,sale,flat,6,2,63.0,35990000,Басманный,Чистопрудный бульвар,12К2,Чистые пруды,
Главстрой,developer,Москва,sale,flat,22,2,67.1,28625560,Филевский парк,Береговой проезд,2,Фили,Береговой-2
ID 85604823,unknown,Москва,sale,flat,41,2,51.0,34000000,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
Никита Гаврилов,realtor,Москва,sale,flat,22,1,40.0,13290000,Марьино, Верхние Поля,36К2,Люблино,
Галс-Девелопмент,developer,Москва,sale,flat,6,2,71.56,131670400,Замоскворечье,Космодамианская набережная,4/22С8,Новокузнецкая,Клубный дом Космо 4/22
ID 85604823,unknown,Москва,sale,flat,42,1,42.0,29000000,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
Залму Писарук,realtor,Москва,sale,flat,12,2,55.0,13400000,Бирюлево Восточное,Лебедянская ,4,,
Среда,developer,Москва,sale,flat,30,2,56.31,21423871,Кунцево,48-й кв-л,,Кунцевская,Кутузовский Квартал ЖК
ID 85604823,unknown,Москва,sale,flat,42,1,42.0,26000000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
Зульфия  Галяутдинова,realtor,Москва,sale,flat,14,2,61.0,29000000.0,Гагаринский,Университетский проспект,6К2,Воробьёвы горы,
Главстрой,developer,Москва,sale,flat,13,2,53.25,25432093.0,Котловка,31/2,31/2,Профсоюзная,Новые Академики ЖК
BARNES International Realty,real_estate_agent,Москва,sale,flat,22,2,85.0,50000000.0,Пресненский,Шмитовский проезд,16С2,Москва-Сити,Шмитовский 16
ID 98396578,homeowner,Москва,sale,flat,9,2,45.0,17800000.0,Красносельский,Протопоповский переулок,38,Площадь трёх вокзалов,
MR Group,developer,Москва,sale,flat,28,2,60.6,22803806.0,Даниловский,,,Павелецкая,Павелецкая Сити ЖК
Villagio Realty,real_estate_agent,Москва,sale,flat,23,2,71.7,30990000.0,Басманный,набережная Академика Туполева,15,Бауманская,Каскад
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,Москва,sale,flat,16,2,37.0,19000000.0,Пресненский,Красногвардейский бульвар,5К2,Москва-Сити,
Sminex,developer,Москва,sale,flat,12,1,83.3,172590000.0,Хамовники,Фрунзенская набережная,30,Фрунзенская,Клубный город-парк 
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,21,2,57.23,59000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
Delight Realty,real_estate_agent,Москва,sale,flat,10,2,59.7,55000000.0,Таганский,Котельническая набережная,1/15кВ,Таганская,
Галс-Девелопмент,developer,Москва,sale,flat,27,2,69.4,32340400.0,Басманный, Фридриха Энгельса,56С9,Бауманская,Дом 56
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,18,2,66.4,69700000.0,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК
ID 96167522,realtor,Москва,sale,flat,9,1,37.0,7885000.0,Люблино, Верхние Поля,27С2,Братиславская,
MR Group,developer,Москва,sale,flat,13,2,85.19,126021567.0,Мещанский,Садовая-Сухаревская ,14,Цветной бульвар,Клубный дом Forum
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,9,2,108.3,154000000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
ID 47664046,unknown,Москва,sale,flat,17,2,65.2,21500000.0,Черемушки,Профсоюзная ,30К2,Профсоюзная,
Sminex,developer,Москва,sale,flat,14,2,85.6,175450000.0,Якиманка,,,Боровицкая,Лаврушинский ЖК
hoomie,real_estate_agent,Москва,sale,flat,20,2,59.0,25370000.0,Даниловский,,,Тульская,Форст ЖК
ID 74991203,homeowner,Москва,sale,flat,24,2,53.2,19570000.0,Донской,Новоданиловская набережная,8к2,Верхние котлы,Новоданиловская 8
Пионер,developer,Москва,sale,flat,18,2,48.5,35800507.0,Донской,2-й Донской проезд,10,Ленинский проспект,SHIFT
White and Broughton,real_estate_agent,Москва,sale,flat,40,1,41.5,32000000.0,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
Ирина Василевская,realtor,Москва,sale,flat,17,1,38.0,9350000.0,, Авиаконструктора Петлякова,7,Пыхтино,Солнцево парк
Absolute Premium,developer,Москва,sale,flat,17,2,49.8,57968000.0,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК
PEOPLE,real_estate_agent,Москва,sale,flat,10,2,178.1,150000000.0,Тверской,Большая Грузинская ,69,Белорусская,Четыре Ветра
Voller.one,real_estate_agent,Москва,sale,flat,4,2,60.0,15500000.0,Сокольники,2-я Рыбинская ,13,Красносельская,Loft Garden
Tekta Group,developer,Москва,sale,flat,34,2,42.4,22349040.0,Обручевский,,,Воронцовская,Эвер ЖК
Century 21 Street Realty,real_estate_agent,Москва,sale,flat,41,2,56.9,39000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
BARNES International Realty,real_estate_agent,Москва,sale,flat,23,2,90.6,45000000.0,Хорошевский, Гризодубовой,2,ЦСКА,Гранд-парк
TOUCH,developer,Москва,sale,flat,13,2,64.0,37645480.0,Южнопортовый,,к3,Дубровка,Шампайн ЖК
Kalinka Group,real_estate_agent,Москва,sale,flat,5,2,84.63,139639500.0,Басманный,Потаповский переулок,6С1,Чистые пруды,Абрикосов
ID 95814020,realtor,Москва,sale,flat,17,2,71.0,17500000.0,, Никитина,11к4,Рассказовка,
Пионер,developer,Москва,sale,flat,11,2,85.3,77775516.0,Даниловский,,,Павелецкая,Опус ЖК
Point Estate Город,real_estate_agent,Москва,sale,flat,21,2,54.0,59000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
ID 51002482,realtor,Москва,sale,flat,5,1,30.6,11800000.0,Можайский, Гришина,25,Рабочий посёлок,
Sminex,developer,Москва,sale,flat,26,2,61.54,31220000.0,Марфино, Академика Королева,21,Бутырская,Дом Достижение
White and Broughton,real_estate_agent,Москва,sale,flat,41,2,56.9,40000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
ID 116114838,homeowner,Москва,sale,flat,11,2,42.4,12850000.0,,бульвар Веласкеса,7к1,Ольховая,
Tekta Group,developer,Москва,sale,flat,34,2,39.2,17918320.0,Нагорный,,2,Нагорная,Твелв ЖК
White and Broughton,real_estate_agent,Москва,sale,flat,41,1,41.5,31000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
НДВ,real_estate_agent,Москва,sale,flat,17,2,52.2,19950000.0,Теплый Стан,Ленинский проспект,127,Тропарёво,
FORMA,developer,Москва,sale,flat,33,2,64.67,37928955.0,Пресненский, Пресненский Вал,27С6,Белорусская,Republic
Contact Real Estate,real_estate_agent,Москва,sale,flat,20,1,59.0,61800000.0,Пресненский, Костикова,4к6,Улица 1905 года,Lucky
ID 17498307,homeowner,Москва,sale,flat,10,1,40.4,28900000.0,Дорогомилово,Кутузовский проспект,30,Кутузовская,
Донстрой,developer,Москва,sale,flat,21,2,65.3,24435260.0,Лефортово,,,Площадь Ильича,Символ ЖК
ID 52825739,homeowner,Москва,sale,flat,15,2,46.5,23900000.0,Хорошевский,Ходынский бульвар,20А,ЦСКА,Лайнер
Mikhail Uger,realtor,Москва,sale,flat,25,1,36.8,9900000.0,Чертаново Северное,Северное Чертаново мкр,7кБ,Чертановская,
UNIQ Development,developer,Москва,sale,flat,25,2,64.3,50154000.0,Фили-Давыдково,Малая Филевская ,46,Кунцевская,Springs
ZIP Realty,real_estate_agent,Москва,sale,flat,22,1,30.0,11700000.0,,бульвар Андрея Тарковского,11,Рассказовка,Рассказово
Доступный дом,real_estate_agent,Москва,sale,flat,17,1,35.4,14990000.0,, Эдварда Грига,15,Потапово,
MR Group,developer,Москва,sale,flat,59,2,31.1,,Можайский,,,Давыдково,Веер ЖК
Whitewill,real_estate_agent,Москва,sale,flat,37,2,48.0,42500000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
Виктория Грудько,realtor,Москва,sale,flat,8,1,33.0,12800000.0,Теплый Стан,Профсоюзная ,136К4,Коньково,
COLDY,developer,Москва,sale,flat,15,2,53.7,50408190.0,Даниловский, Серпуховский Вал,7с16,Тульская,Дом 7 Даниловский
Homeapp,real_estate_agent,Москва,sale,flat,25,1,34.0,9700000.0,,,7,Потапово,
BERI,real_estate_agent,Москва,sale,flat,5,2,53.9,19990000.0,Ломоносовский, Строителей,5К4,Университет,
MR Group,developer,Москва,sale,flat,36,2,68.6,48137992.0,Беговой,Ленинградский проспект,вл8,Белорусская,Slava
Whitewill,real_estate_agent,Москва,sale,flat,15,2,58.54,61000000.0,Пресненский, Костикова,4к4,Улица 1905 года,Lucky
Этажи Москва,real_estate_agent,Москва,sale,flat,14,1,39.0,9300000.0,Ново-Переделкино, Шолохова,2,Новопеределкино,
MR Group,developer,Москва,sale,flat,43,2,57.89,29356019.0,Савеловский,2-я Хуторская ,34,Дмитровская,SYMPHONY 34
PEOPLE,real_estate_agent,Москва,sale,flat,15,2,58.54,61000000.0,Пресненский, Костикова,4к4,Улица 1905 года,Lucky
BERI,real_estate_agent,Москва,sale,flat,12,2,38.3,18500000.0,Хорошевский, Куусинена,6К10,Полежаевская,
MR Group,developer,Москва,sale,flat,7,2,134.71,323304000.0,Арбат,Крестовоздвиженский переулок,4,Арбатская,LUCE
PEOPLE,real_estate_agent,Москва,sale,flat,21,2,54.0,58000000.0,Пресненский,2-я Звенигородская ,14,Улица 1905 года,Lucky
Villagio Realty,real_estate_agent,Москва,sale,flat,24,2,71.2,32990000.0,Сокольники,проезд Попов,4,Электрозаводская,
PIONEER,developer,Москва,sale,flat,22,2,45.8,23267700.0,Марьина роща,Полковая ,1С12,Савёловская,PRIDE
PEOPLE,real_estate_agent,Москва,sale,flat,21,2,71.9,65000000.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
