author,author_type,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,street,house_number,underground,residential_complex
,,Долгопрудный,sale,flat,13,23,1,42.0,9261223,2026,-1,Монолитный,-1,"Без отделки, чистовая",-1,-1,,,Хлебниково,Бригантина ЖК
Этажи Москва,real_estate_agent,Долгопрудный,sale,flat,9,18,1,44.0,10550000,2015,-1,-1,-1,-1,-1,12 м²,Московская ,56к3,Водники,Московские водники
ID 67474576,realtor,Долгопрудный,sale,flat,20,21,1,40.0,10200000,2015,-1,-1,-1,-1,20 м²,10 м²,Старое Дмитровское шоссе,11,Водники,Московские водники
,,Долгопрудный,sale,flat,7,23,1,33.6,8477973,2026,-1,Монолитный,-1,"Без отделки, чистовая",-1,-1,,,Хлебниково,Бригантина ЖК
Этажи Москва,real_estate_agent,Долгопрудный,sale,flat,6,23,1,49.5,9970000,2016,-1,-1,-1,-1,-1,10 м²,Старое Дмитровское шоссе,17,Водники,Московские водники
Святослав Голованов,realtor,Долгопрудный,sale,flat,1,2,1,33.0,4700000,-1,-1,-1,-1,-1,"18,1 м²","7,5 м²",Северная ,2,Долгопрудная,
,,Долгопрудный,sale,flat,14,23,1,32.6,8297222,2026,-1,Монолитный,-1,"Без отделки, чистовая",-1,-1,,,Хлебниково,Бригантина ЖК
ID 119235442,homeowner,Долгопрудный,sale,flat,24,26,1,49.0,11800000,2007,-1,-1,-1,-1,"21,8 м²",14 м²,Лихачевский проспект,80к1,Долгопрудная,
ID 31556,realtor,Долгопрудный,sale,flat,3,16,1,35.0,7300000,1992,-1,-1,-1,-1,19 м²,10 м²,проспект Пацаева,17,Водники,
,,Долгопрудный,sale,flat,2,23,1,42.6,9019735,2026,-1,Монолитный,-1,"Без отделки, чистовая",-1,-1,,,Хлебниково,Бригантина ЖК
Галант,real_estate_agent,Долгопрудный,sale,flat,5,5,1,28.9,6450000,1971,-1,-1,-1,-1,"17,9 м²",6 м²,Московское шоссе,49к1,Водники,
ID 89919508,unknown,Долгопрудный,sale,flat,4,23,1,30.0,5900000,-1,-1,-1,-1,-1,-1,-1,Парковая ,52к1,Водники,Бригантина
